H (A/m)	        M (A/m)	        I (A)	        B (T)
118,8381583	27733,27688	0,124777571	0,035
119,994853	27732,12019	0,125992076	0,035
118,5829252	27733,53212	0,124509581	0,035
119,6092881	27732,50575	0,125587241	0,035
118,5829252	27733,53212	0,124509581	0,035
120,8935993	27731,22144	0,126935741	0,035
121,409496	27730,70555	0,127477421	0,035
123,464937	27728,6501	0,129635591	0,035
126,5467409	27725,5683	0,13287142	0,035
185,5164469	31645,47217	0,194788373	0,04
192,5842314	32434,1791	0,202209399	0,041
202,0903066	33220,44774	0,212190578	0,042
210,9555838	34007,35718	0,221498933	0,043
218,9221147	34795,16537	0,229863623	0,044
221,4907371	34792,59674	0,232560623	0,044
217,6350882	34796,45239	0,228512272	0,044
216,7363419	34797,35114	0,227568608	0,044
216,7363419	34797,35114	0,227568608	0,044
215,8375955	34798,24988	0,226624943	0,044
222,2618669	34791,82561	0,233370293	0,044
283,5856909	36322,05122	0,29775902	0,046
283,9766863	41096,30852	0,298169557	0,052
300,3604788	41875,69944	0,315372195	0,053
315,183005	44248,20106	0,330935537	0,056
355,3604956	48982,67186	0,373121058	0,062
355,751491	50573,8303	0,373531595	0,064
367,4541999	50562,12759	0,385819194	0,064
398,2695233	52918,63641	0,418174636	0,067
420,5046703	57671,04956	0,441521073	0,073
418,5524087	58468,77654	0,43947124	0,074
443,907373	60034,971	0,46609342	0,076
456,7803528	61613,64745	0,479609778	0,078
459,1208946	63998,63106	0,482067298	0,081
476,2839626	64777,24271	0,500088159	0,082
482,1353171	67158,7155	0,506231958	0,085
498,910105	68733,49014	0,523845133	0,087
500,8596514	71914,63946	0,525892116	0,091
518,4137148	71897,08539	0,544323514	0,091
539,4758757	74263,34738	0,566438341	0,094
552,3488555	79025,12269	0,579954699	0,1
560,9317472	80608,08923	0,588966555	0,102
564,8335552	80604,18742	0,593063372	0,102
568,3416527	81396,45404	0,5967468	0,103
579,6560815	83772,46376	0,608626713	0,106
583,1668942	84564,72766	0,612312993	0,107
605,7903213	87725,20309	0,636067116	0,111
618,2723058	89304,27054	0,649172938	0,113
630,7542902	90883,33799	0,662278759	0,115
636,9966401	93264,41978	0,668833095	0,118
645,5795317	94847,38632	0,677844951	0,12
662,7425997	97217,5474	0,695865812	0,123
664,6921462	98011,37257	0,697912795	0,124
681,0759387	100382,3129	0,715115433	0,127
685,7570223	101173,4066	0,720030473	0,128
690,826386	101964,1119	0,725353198	0,129
693,5579231	103552,9298	0,728221255	0,131
698,6300021	104343,6324	0,733546831	0,132
702,9200903	104339,3424	0,738051334	0,132
725,5435174	106704,0431	0,761805457	0,135
732,9561382	108288,1799	0,769588553	0,137
741,5363146	109871,1491	0,778597558	0,139
760,2606489	112239,7489	0,798257716	0,142
838,8398593	119323,1422	0,880764237	0,151
854,3249055	128856,9537	0,89702321	0,163
853,0351638	128858,2435	0,895669009	0,163
854,3249055	128856,9537	0,89702321	0,163
856,9071042	128854,3715	0,899734465	0,163
855,6146472	129651,4387	0,898377412	0,164
880,1360311	131218,4667	0,92412435	0,166
898,2032759	134383,4984	0,943094578	0,17
925,3041432	137539,4963	0,971549919	0,174
927,8836266	139128,4663	0,974258323	0,176
954,9844939	142284,4643	1,002713664	0,18
960,1488912	143075,0746	1,008136173	0,181
952,4050105	143082,8185	1,000005261	0,181
